datetime,num_train_running,num_train_operational,num_dalian_train_running,num_dalian_train_operational,headway,entry,exit,temp,humidity,rain_1h,rain_3h,weather_main,hour_of_day,day_of_week
2018-07-01 19:00:00,12.0,13.0,0.0,0.0,8.5,1873.0,853.0,26.41,87,0.0,0.0,Haze,19,6
2018-07-02 05:00:00,8.0,8.0,0.0,0.0,8.0,359.0,500.0,31.29,60,0.0,0.0,Haze,5,0
2018-07-03 05:00:00,7.0,7.0,0.0,0.0,8.0,386.0,433.0,30.09,66,0.0,0.0,Haze,5,1
2018-07-02 18:00:00,15.0,15.0,0.0,0.0,7.0,2778.0,850.0,27.23,84,0.0,0.0,Haze,18,0
2018-07-04 05:00:00,9.0,9.0,0.0,0.0,8.0,391.0,478.0,31.24,60,0.0,0.0,Haze,5,2
2018-07-03 20:00:00,14.0,14.0,0.0,0.0,7.5,2071.0,856.0,26.11,87,0.0,0.0,Haze,20,1
2018-07-05 06:00:00,14.0,14.0,0.0,0.0,7.5,1084.0,1159.0,31.0,59,0.0,0.0,Haze,6,3
2018-07-05 05:00:00,8.0,8.0,0.0,0.0,8.0,324.0,191.0,30.99,59,0.0,0.0,Haze,5,3
2018-07-06 07:00:00,15.0,15.0,0.0,0.0,7.0,1027.0,826.0,29.65,62,0.0,0.0,Haze,7,4
2018-07-06 05:00:00,8.0,8.0,0.0,0.0,8.0,245.0,168.0,30.69,62,0.0,0.0,Haze,5,4
2018-07-06 21:00:00,15.0,16.0,0.0,0.0,7.0,395.0,354.0,26.69,89,0.0,0.0,Haze,21,4
2018-07-07 06:00:00,12.0,13.0,0.0,0.0,8.5,375.0,245.0,29.14,67,0.0,0.0,Clouds,6,5
2018-07-07 17:00:00,12.0,14.0,0.0,0.0,8.5,545.0,315.0,26.53,91,0.63,0.0,Rain,17,5
2018-07-08 17:00:00,12.0,14.0,0.0,0.0,8.5,2789.0,781.0,26.18,94,0.0,0.0,Haze,17,6
2018-07-09 05:00:00,8.0,8.0,0.0,0.0,8.0,438.0,436.0,29.15,66,0.0,0.0,Haze,5,0
2018-07-09 20:00:00,15.0,16.0,0.0,0.0,7.0,1604.0,831.0,25.17,87,0.0,13.0,Rain,20,0
2018-07-10 13:00:00,15.0,16.0,0.0,0.0,7.0,1008.0,913.0,27.42,81,0.0,0.0,Haze,13,1
2018-07-11 05:00:00,7.0,7.0,0.0,0.0,8.0,391.0,391.0,28.77,76,1.35,0.0,Rain,5,2
2018-07-11 20:00:00,15.0,15.0,0.0,0.0,7.0,1510.0,908.0,25.97,93,0.0,0.0,Haze,20,2
2018-07-12 05:00:00,9.0,9.0,0.0,0.0,8.0,328.0,448.0,27.9,75,0.0,0.0,Clouds,5,3
2018-07-12 11:00:00,15.0,16.0,0.0,0.0,7.0,997.0,814.0,26.77,77,0.0,0.0,Haze,11,3
2018-07-13 05:00:00,8.0,8.0,0.0,0.0,8.0,259.0,194.0,28.43,78,0.58,0.0,Rain,5,4
2018-07-13 19:00:00,15.0,16.0,0.0,0.0,7.0,1150.0,615.0,25.79,89,0.0,0.0,Haze,19,4
2018-07-14 16:00:00,12.0,15.0,0.0,0.0,8.5,581.0,422.0,26.68,89,0.0,3.0,Rain,16,5
2018-07-16 06:00:00,15.0,15.0,0.0,0.0,7.0,1160.0,985.0,28.45,84,1.61,0.0,Rain,6,0
2018-07-16 05:00:00,9.0,9.0,0.0,0.0,8.0,396.0,398.0,28.39,84,1.22,0.0,Rain,5,0
2018-07-16 20:00:00,15.0,16.0,0.0,0.0,7.0,1427.0,750.0,25.42,92,0.0,17.5,Rain,20,0
2018-07-17 05:00:00,8.0,8.0,0.0,0.0,8.0,330.0,436.0,26.09,95,0.0,0.0,Clouds,5,1
2018-07-17 18:00:00,15.0,16.0,0.0,0.0,8.0,2566.0,851.0,25.21,95,0.89,0.0,Rain,18,1
2018-07-18 05:00:00,8.0,8.0,0.0,0.0,8.0,4.0,0.0,29.26,78,0.0,0.0,Haze,5,2
2018-07-18 08:00:00,15.0,15.0,0.0,0.0,7.0,1342.0,1997.0,28.53,80,0.0,0.8,Rain,8,2
2018-07-19 05:00:00,9.0,9.0,0.0,0.0,8.0,327.0,420.0,29.32,79,0.0,0.0,Haze,5,3
2018-07-20 06:00:00,15.0,15.0,0.0,0.0,7.0,780.0,556.0,28.74,86,0.0,0.0,Haze,6,4
2018-07-20 05:00:00,8.0,8.0,0.0,0.0,8.0,262.0,138.0,29.0,86,0.0,0.0,Haze,5,4
2018-07-20 08:00:00,15.0,15.0,0.0,0.0,7.0,826.0,890.0,26.55,93,0.0,23.5,Rain,8,4
2018-07-21 17:00:00,12.0,13.0,0.0,0.0,8.5,625.0,390.0,26.66,90,0.88,0.0,Thunderstorm,17,5
2018-07-22 05:00:00,8.0,8.0,0.0,0.0,9.0,397.0,587.0,26.21,100,0.21,0.0,Thunderstorm,5,6
2018-07-23 05:00:00,8.0,8.0,0.0,0.0,8.0,383.0,441.0,27.28,85,0.0,0.0,Haze,5,0
2018-07-23 06:00:00,15.0,15.0,0.0,0.0,7.0,1201.0,1082.0,27.64,85,0.0,0.0,Haze,6,0
2018-07-23 17:00:00,15.0,16.0,0.0,0.0,7.0,3079.0,723.0,25.8,97,0.0,0.0,Haze,17,0
2018-07-24 06:00:00,15.0,15.0,0.0,0.0,7.0,1189.0,1199.0,28.19,71,0.0,0.0,Haze,6,1
2018-07-24 20:00:00,15.0,16.0,0.0,0.0,7.0,1802.0,834.0,25.23,95,0.0,0.0,Haze,20,1
2018-07-25 05:00:00,9.0,9.0,0.0,0.0,7.0,345.0,413.0,29.18,74,0.0,0.0,Haze,5,2
2018-07-25 19:00:00,15.0,16.0,0.0,0.0,7.0,2784.0,845.0,25.93,88,0.0,0.0,Haze,19,2
2018-07-26 06:00:00,15.0,15.0,0.0,0.0,7.0,1085.0,1195.0,27.83,74,8.9,0.0,Rain,6,3
2018-07-26 18:00:00,15.0,15.0,0.0,0.0,7.0,2145.0,494.0,25.72,85,0.0,0.0,Haze,18,3
2018-07-27 05:00:00,7.0,9.0,0.0,0.0,7.5,260.0,187.0,27.65,79,0.13,0.0,Rain,5,4
2018-07-28 07:00:00,12.0,12.0,0.0,0.0,8.5,432.0,271.0,28.9,79,0.45,0.0,Thunderstorm,7,5
2018-07-29 05:00:00,6.0,6.0,0.0,0.0,9.0,393.0,548.0,30.08,66,0.0,0.0,Haze,5,6
2018-07-29 07:00:00,12.0,13.0,0.0,0.0,8.5,1274.0,1641.0,30.16,66,0.0,0.0,Haze,7,6
2018-07-30 05:00:00,10.0,11.0,0.0,0.0,7.0,344.0,453.0,30.22,69,0.0,0.0,Haze,5,0
2018-07-29 18:00:00,12.0,13.0,0.0,0.0,8.5,2596.0,937.0,26.94,88,0.0,0.0,Haze,18,6
2018-07-30 13:00:00,15.0,15.0,0.0,0.0,7.0,930.0,702.0,28.25,84,0.0,0.0,Haze,13,0
2018-07-31 05:00:00,9.0,10.0,0.0,0.0,7.0,373.0,424.0,29.88,69,0.0,0.0,Haze,5,1
2018-07-31 19:00:00,15.0,15.0,0.0,0.0,7.0,2164.0,823.0,26.9,90,0.0,0.0,Clouds,19,1
2018-08-01 07:00:00,15.0,16.0,0.0,0.0,7.0,1301.0,1599.0,30.4,70,0.0,0.0,Haze,7,2
2018-08-01 05:00:00,15.0,15.0,0.0,0.0,7.0,358.0,420.0,30.63,70,0.0,0.0,Haze,5,2
2018-08-01 14:00:00,15.0,16.0,0.0,0.0,7.0,1208.0,768.0,27.82,82,0.0,0.0,Haze,14,2
2018-08-02 06:00:00,14.0,15.0,0.0,0.0,7.0,1062.0,1132.0,29.3,77,0.0,0.0,Haze,6,3
2018-08-02 13:00:00,15.0,16.0,0.0,0.0,7.0,1161.0,667.0,27.58,82,0.0,0.0,Haze,13,3
2018-08-03 09:00:00,15.0,15.0,0.0,0.0,7.0,712.0,502.0,28.62,72,0.0,0.0,Haze,9,4
2018-08-06 06:00:00,14.0,14.0,0.0,0.0,7.5,1109.0,1064.0,29.67,67,0.0,0.0,Haze,6,0
2018-08-06 05:00:00,9.0,9.0,0.0,0.0,7.0,339.0,462.0,29.79,67,0.0,0.0,Haze,5,0
2018-08-07 06:00:00,15.0,15.0,0.0,0.0,7.0,1203.0,1129.0,29.92,81,0.0,0.0,Haze,6,1
