datetime,num_train_running,num_train_operational,num_dalian_train_running,num_dalian_train_operational,headway
2018-09-10 07:00:00,15,15.0,0.0,0,7.0
2018-09-10 18:00:00,15,15.0,0.0,0,7.0
2018-09-12 06:00:00,15,15.0,0.0,0,7.0
2018-09-12 08:00:00,15,15.0,0.0,0,7.0
2018-09-12 12:00:00,15,15.0,0.0,0,7.0
2018-09-13 16:00:00,15,15.0,0.0,0,7.0
2018-09-13 19:00:00,15,16.0,0.0,0,7.0
2018-09-15 06:00:00,10,11.0,0.0,0,9.0
2018-09-15 08:00:00,12,13.0,0.0,0,8.5
2018-09-16 08:00:00,12,13.0,0.0,0,8.5
2018-09-16 12:00:00,12,13.0,0.0,0,8.5
2018-09-18 05:00:00,9,9.0,0.0,0,8.0
2018-09-17 15:00:00,15,15.0,0.0,0,7.0
2018-09-18 20:00:00,15,16.0,0.0,0,7.0
2018-09-19 05:00:00,9,9.0,0.0,0,8.0
2018-09-19 18:00:00,15,16.0,0.0,0,7.0
2018-09-20 09:00:00,16,16.0,0.0,0,7.0
2018-09-20 08:00:00,16,16.0,0.0,0,7.0
2018-09-21 13:00:00,15,15.0,0.0,0,7.0
2018-09-21 16:00:00,15,15.0,0.0,0,7.0
2018-07-22 06:00:00,11,11.0,0.0,0,9.0
2018-09-24 06:00:00,10,10.0,0.0,0,8.5
2018-09-26 06:00:00,14,14.0,0.0,0,7.0
2018-09-26 07:00:00,15,15.0,0.0,0,7.0
2018-09-27 09:00:00,15,15.0,0.0,0,7.0
2018-09-25 11:00:00,14,14.0,0.0,0,7.5
2018-09-26 17:00:00,15,15.0,0.0,0,7.0
2018-10-31 18:00:00,15,15.0,0.0,0,7.0
2018-10-30 12:00:00,15,15.0,1.0,0,7.0
2018-10-31 13:00:00,15,15.0,1.0,0,7.0
2018-10-29 17:00:00,15,15.0,0.0,0,7.0
2018-10-30 13:00:00,15,15.0,1.0,0,7.0
2018-11-28 07:00:00,15,15.0,0.0,0,7.0
2018-11-30 05:00:00,8,9.0,0.0,0,8.5
2018-11-29 11:00:00,15,15.0,0.0,0,7.0
2018-11-30 11:00:00,12,13.0,0.0,0,8.5
2018-11-28 09:00:00,15,15.0,0.0,0,7.0
2018-11-13 19:00:00,15,16.0,0.0,0,7.0
2018-11-13 10:00:00,15,16.0,1.0,0,7.0
2018-11-14 14:00:00,15,16.0,1.0,0,7.0
2018-11-12 13:00:00,15,15.0,1.0,0,7.0
2018-11-14 12:00:00,15,16.0,1.0,0,7.0
2018-09-03 06:00:00,15,15.0,0.0,0,7.0
2018-09-03 05:00:00,9,9.0,0.0,0,7.0
2018-09-02 19:00:00,12,13.0,0.0,0,8.5
2018-09-03 20:00:00,15,16.0,0.0,0,7.0
2018-09-03 08:00:00,15,15.0,0.0,0,7.0
2018-09-05 06:00:00,15,0.0,0.0,0,7.0
2018-09-05 16:00:00,15,0.0,0.0,0,7.0
