num_train_running,num_train_operational,num_dalian_train_running,num_dalian_train_operational,headway,entry,exit,temp,humidity,rain_1h,rain_3h
12.0,13.0,0.0,0.0,8.5,2056.0,977.0,26.27,95,0.0,51.0
14.0,14.0,0.0,0.0,7.5,6026.0,582.0,28.91,75,0.89,0.0
14.0,15.0,0.0,0.0,7.5,4940.0,1060.0,29.16,75,0.44,0.0
15.0,16.0,0.0,0.0,7.0,2905.0,3369.0,26.36,90,0.0,0.0
14.0,14.0,0.0,0.0,7.5,4445.0,979.0,28.29,70,0.0,5.0
13.0,13.0,0.0,0.0,8.0,5072.0,486.0,30.25,69,0.0,0.0
15.0,15.0,0.0,0.0,7.0,6790.0,993.0,28.74,69,0.0,0.0
15.0,15.0,0.0,0.0,7.0,4745.0,1190.0,27.54,81,0.0,1.25
15.0,16.0,0.0,0.0,7.0,2930.0,4000.0,27.31,81,0.0,0.0
14.0,14.0,0.0,0.0,7.0,5411.0,476.0,30.22,73,0.0,0.0
15.0,15.0,0.0,0.0,7.0,5376.0,1087.0,29.91,75,0.0,0.0
15.0,15.0,0.0,0.0,7.0,2659.0,3108.0,25.45,89,0.0,21.5
14.0,14.0,0.0,0.0,7.5,2911.0,1810.0,27.55,90,8.0,0.0
12.0,14.0,0.0,0.0,9.0,2159.0,966.0,27.81,71,0.0,0.0
12.0,14.0,0.0,0.0,9.0,6085.0,659.0,28.72,69,0.0,0.0
12.0,14.0,0.0,0.0,9.0,2259.0,1820.0,25.64,93,0.18,0.0
15.0,15.0,0.0,0.0,8.0,3185.0,5339.0,26.52,92,0.27,0.0
12.0,14.0,0.0,0.0,8.5,3463.0,0.0,30.27,73,0.0,0.0
12.0,14.0,0.0,0.0,8.5,2341.0,848.0,28.19,86,0.0,3.0
15.0,15.0,0.0,0.0,7.5,5207.0,1136.0,30.56,72,0.0,0.0
8.0,8.0,0.0,0.0,9.5,3242.0,0.0,30.56,72,0.0,0.0
15.0,16.0,0.0,0.0,7.0,220.0,0.0,30.16,69,0.0,0.0
15.0,16.0,0.0,0.0,7.0,3181.0,1397.0,28.21,81,0.0,0.0
12.0,14.0,0.0,0.0,8.5,1928.0,552.0,29.41,75,0.0,0.0
12.0,13.0,0.0,0.0,8.5,6036.0,1061.0,30.83,71,0.0,0.0
12.0,13.0,0.0,0.0,8.5,3724.0,1112.0,29.64,61,0.0,0.0
14.0,14.0,0.0,0.0,7.5,4748.0,385.0,32.11,51,0.0,0.0
15.0,16.0,0.0,0.0,7.0,5507.0,495.0,31.28,50,0.0,0.0
15.0,15.0,0.0,0.0,7.0,3508.0,1332.0,29.19,71,0.0,0.0
15.0,16.0,0.0,0.0,7.0,2099.0,3190.0,26.04,89,0.0,0.0
14.0,14.0,0.0,0.0,7.0,2261.0,2864.0,25.09,90,0.17,0.0
12.0,12.0,0.0,0.0,8.5,1370.0,456.0,30.43,62,0.0,0.0
12.0,13.0,0.0,0.0,8.5,1812.0,1605.0,26.58,88,0.94,0.0
12.0,13.0,0.0,0.0,8.5,5446.0,1097.0,28.86,70,0.59,0.0
15.0,15.0,0.0,0.0,7.0,6164.0,424.0,29.05,74,0.0,0.0
15.0,16.0,0.0,0.0,7.0,2399.0,4136.0,25.43,91,0.0,0.0
15.0,15.0,0.0,0.0,7.0,6320.0,1066.0,30.82,62,0.0,0.0
15.0,15.0,0.0,0.0,7.0,2707.0,4453.0,26.34,93,0.0,0.0
15.0,15.0,0.0,0.0,7.0,7132.0,363.0,30.37,66,0.0,0.0
15.0,15.0,0.0,0.0,7.0,6189.0,1133.0,29.51,70,0.0,0.0
15.0,15.0,0.0,0.0,7.0,3954.0,1397.0,27.06,96,1.14,0.0
15.0,15.0,0.0,0.0,7.0,1544.0,1855.0,26.27,92,0.0,9.0
15.0,16.0,0.0,0.0,7.0,2649.0,4585.0,26.69,94,0.0,0.0
10.0,11.0,0.0,0.0,9.0,856.0,195.0,28.55,81,0.0,0.0
12.0,13.0,0.0,0.0,8.5,1844.0,504.0,27.24,87,0.0,15.0
12.0,13.0,0.0,0.0,8.5,5823.0,890.0,28.35,88,0.0,8.5
12.0,13.0,0.0,0.0,8.5,3637.0,1515.0,26.76,86,0.0,0.0
9.0,9.0,0.0,0.0,8.0,3242.0,0.0,31.6,53,0.0,0.0
15.0,15.0,0.0,0.0,7.0,2082.0,1842.0,26.91,100,0.0,0.0
15.0,16.0,0.0,0.0,7.0,2536.0,3666.0,26.65,89,0.0,0.0
9.0,9.0,0.0,0.0,8.0,3737.0,0.0,30.13,64,0.0,0.0
15.0,16.0,0.0,0.0,7.0,2459.0,4490.0,26.71,91,0.0,0.0
16.0,16.0,0.0,0.0,7.0,3950.0,952.0,29.55,64,0.0,0.0
16.0,16.0,0.0,0.0,7.0,5831.0,1201.0,30.18,64,0.0,0.0
15.0,15.0,0.0,0.0,7.0,2817.0,2418.0,26.62,90,0.0,0.0
15.0,15.0,0.0,0.0,7.0,2310.0,2623.0,26.01,91,0.0,0.0
11.0,11.0,0.0,0.0,9.0,5039.0,458.0,25.32,100,0.3,0.0
10.0,10.0,0.0,0.0,8.5,5774.0,562.0,30.78,75,0.0,0.0
14.0,14.0,0.0,0.0,7.0,6354.0,563.0,31.37,64,0.0,0.0
15.0,15.0,0.0,0.0,7.0,6834.0,1021.0,31.28,64,0.0,0.0
15.0,15.0,0.0,0.0,7.0,4857.0,1218.0,30.11,68,0.0,0.0
14.0,14.0,0.0,0.0,7.5,3723.0,1245.0,28.6,89,0.0,0.0
15.0,15.0,0.0,0.0,7.0,2472.0,3389.0,26.59,87,0.0,0.0
15.0,15.0,0.0,0.0,7.0,2720.0,4180.0,26.43,85,0.0,0.0
15.0,15.0,1.0,0.0,7.0,3585.0,1296.0,26.28,94,0.41,0.0
15.0,15.0,1.0,0.0,7.0,2804.0,2040.0,28.55,68,0.0,0.0
15.0,15.0,0.0,0.0,7.0,2762.0,2942.0,25.84,83,0.0,0.0
15.0,15.0,1.0,0.0,7.0,3051.0,1278.0,26.26,94,0.29,0.0
15.0,15.0,0.0,0.0,7.0,6692.0,1007.0,30.02,66,0.0,0.0
8.0,9.0,0.0,0.0,8.5,1034.0,1.0,29.8,54,0.0,0.0
15.0,15.0,0.0,0.0,7.0,3776.0,1199.0,27.82,71,0.0,0.0
12.0,13.0,0.0,0.0,8.5,2845.0,1618.0,27.3,70,0.0,0.0
15.0,15.0,0.0,0.0,7.0,4778.0,909.0,28.55,63,0.0,0.0
15.0,16.0,0.0,0.0,7.0,2561.0,4458.0,25.78,78,0.0,0.0
15.0,16.0,1.0,0.0,7.0,3878.0,1226.0,29.79,65,0.0,0.0
15.0,16.0,1.0,0.0,7.0,2306.0,1217.0,26.9,76,0.0,0.0
15.0,15.0,1.0,0.0,7.0,2975.0,1573.0,28.34,62,0.0,0.0
15.0,16.0,1.0,0.0,7.0,3496.0,1413.0,28.11,64,0.0,0.0
15.0,15.0,0.0,0.0,7.0,5858.0,472.0,30.86,60,0.0,0.0
9.0,9.0,0.0,0.0,7.0,3884.0,1.0,30.83,60,0.0,0.0
12.0,13.0,0.0,0.0,8.5,2142.0,3607.0,25.93,91,0.39,0.0
15.0,16.0,0.0,0.0,7.0,2160.0,2559.0,25.11,92,0.0,0.0
15.0,15.0,0.0,0.0,7.0,5498.0,1091.0,28.7,78,0.0,0.0
15.0,0.0,0.0,0.0,7.0,6466.0,524.0,30.22,73,0.0,0.0
15.0,0.0,0.0,0.0,7.0,2207.0,2829.0,26.73,92,0.0,0.0
15.0,0.0,0.0,0.0,7.0,3698.0,1298.0,27.6,86,0.0,0.0
15.0,0.0,0.0,0.0,7.0,3864.0,1207.0,27.59,86,0.0,0.0
15.0,15.0,0.0,0.0,7.0,2895.0,860.0,26.88,85,1.71,0.0
15.0,15.0,0.0,0.0,7.0,2814.0,1193.0,26.67,85,0.0,0.3
15.0,15.0,0.0,0.0,7.0,3221.0,1893.0,27.03,81,0.0,0.0
12.0,13.0,0.0,0.0,8.5,6219.0,397.0,31.48,60,0.0,0.0
12.0,13.0,0.0,0.0,8.5,2011.0,1363.0,28.03,78,0.0,0.0
12.0,12.0,0.0,0.0,8.5,2049.0,1038.0,29.35,72,0.0,0.0
12.0,13.0,0.0,0.0,8.5,3296.0,1194.0,28.5,81,0.0,0.0
12.0,13.0,0.0,0.0,8.5,1327.0,496.0,31.88,59,1.5,0.0
12.0,13.0,0.0,0.0,8.5,2124.0,1326.0,28.9,81,0.12,0.0
12.0,12.0,0.0,0.0,8.5,6724.0,409.0,31.6,58,0.0,0.0
14.0,14.0,0.0,0.0,7.5,2454.0,3476.0,27.2,86,0.0,0.0
13.0,13.0,0.0,0.0,8.0,4971.0,845.0,30.19,71,0.0,0.0
13.0,13.0,0.0,0.0,8.0,5915.0,1253.0,29.71,82,0.0,3.0
14.0,14.0,0.0,0.0,7.5,6739.0,1204.0,30.39,61,0.0,0.0
15.0,15.0,0.0,0.0,7.0,4719.0,1010.0,28.32,77,0.0,6.15
15.0,15.0,0.0,0.0,7.0,2887.0,4352.0,27.37,81,0.0,0.0
